2021,2022,2023,2024,predicted
12396,13624,12911,14782
21029,21674,19272,
1760,2171,1977,2267
3536,3334,3056,
4260,4615,4642,5231
7788,8015,7094,
2319,2362,2441,2587
3110,2464,2802,
698,737,852,977
909,990,1349,
12483,14224,13350,
19197,18771,18956,
1691,1982,2034,
4487,4961,4844,
6812,,,
2386,2375,2142,
687,3561,3940,
796,,1025,
13161,14813,13718,
22192,22114,21572,
2051,2050,2048,
4667,5008,4942,
2510,2628,2645,
1075,,,
616,1473,1514,
13447,15033,13859,
20896,21738,21935,
1984,2186,2227,
4830,5176,5066,
2275,1720,2302,
1367,3673,3584,
918,910,1154,
2304,2769,2806,3685
5008,5436,4527,
97,,101,
292,355,345,466
685,787,792,
740,859,1065,1237
2120,2212,2291,
52,34,41,31
439,366,426,596
1329,725,935,
291,204,250,356
462,225,466,
2918,3240,3258,
5150,5048,6040,
415,459,457,
1062,1240,1218,
2251,2716,2763,
63,,,
265,545,512,
378,371,212,
6606,7729,7414,
12517,11359,12898,
1002,1264,1085,
2116,,2271,
2640,2827,2967,
1664,1190,1622,
833,854,767,
5877,6631,6768,7661
12085,10729,11718,
148,,150,262
889,1140,1055,1261
1648,1663,1880,
2200,2490,2574,2876
5064,4801,4907,
1578,1440,1554,1762
1833,1941,1419,
655,661,599,792
999,1052,1022,
4174,4571,4641,5157
8253,6884,8092,
166,178,145,59
499,662,622,738
1101,959,1369,
1548,1701,1951,2026
3173,3246,2405,
1055,1090,964,1239
1640,1386,1396,
518,390,427,538
680,853,1021,
8741,9074,9027,10233
16420,17941,17402,
1315,1492,1447,1639
3464,2678,3021,
3237,3474,3555,3885
7337,6902,6723,
1799,2013,2016,2293
2821,2505,2280,
875,978,827,1041
659,1079,1481,
9791,11159,10727,
15815,16897,18526,
1562,1684,1569,
3602,4012,3879,
7717,8336,7637,
2177,2055,2154,
915,1058,1194,
893,1430,,
10849,12484,11185,
20283,21755,18995,
1865,1798,1656,
4047,4368,4143,
8172,7954,7807,
2348,2321,2324,
468,3317,3089,
933,1049,1113,
10718,11778,11293,
19591,19294,18777,
1816,1756,1786,
4156,4374,4222,
8149,8408,,
2346,2306,2301,
1548,3285,3393,
12509,14122,13394,14898
21401,18693,19356,
1886,2185,2100,2373
3840,3442,3633,
4916,5010,5067,5608
8967,7466,7041,
2560,2429,2743,2774
277,1269,1051,1223
968,99,1529,
13875,14970,13942,
24380,21645,21641,
2053,2248,2240,
3646,,,
5260,5316,5263,
2712,2538,2910,
610,1357,1240,
2118,2119,2568,2394
4419,4081,4628,
7,164,49,44
476,496,614,618
1501,1325,1241,
1149,1211,1499,1577
2505,3680,3668,
62,14,52,62
589,726,873,678
395,1141,1541,
13,8,,
504,396,418,501
887,231,365,
1944,2158,1567,1191
6027,3895,3173,
451,564,652,360
1610,2029,1757,1291
3699,1924,2823,
702,742,570,545
2056,2391,2249,
85,427,579,247
2213,2081,2605,2545
4709,4591,5161,
164,137,179,153
413,461,491,485
1321,1145,1647,
11,,26,44
1318,1173,1368,1338
3546,3576,3304,
831,698,928,783
1310,1343,1634,
431,404,426,413
522,695,502,
5788,5500,7253,7430
12842,11453,12821,
1147,1269,1281,1338
2638,1968,2924,
3475,3138,3917,3506
5966,6728,6843,
2209,1788,2087,2025
2570,2399,2890,
187,1024,1265,1036
1126,1278,1226,
3304,3471,4134,4046
7597,7079,7814,
54,156,44,151
652,693,787,769
1775,1628,2118,
1631,1633,1884,1979
3910,4889,4110,
880,851,1050,1002
1557,1817,1796,
5,,,
149,257,335,331
617,612,770,
67,61,66,68
361,305,291,
8,5,5,3
19,18,20,23
62,57,74,
4,2,2,3
50,51,58,50
166,136,227,
2,2,7,2
48,45,12,
28,23,25,32
107,107,113,
1,1,5,1
11,9,10,13
198,55,87,
1,2,1,1
2032,2107,2102,2408
4431,4590,5963,
13,61,152,144
429,437,508,525
868,674,895,
1189,1191,1330,1255
2832,1693,1343,
36,,,
894,882,811,722
1182,1215,1654,
493,436,437,222
277,1102,480,
434,369,463,496
916,1341,1286,
52,38,32,30
34,158,80,
117,114,133,116
217,203,273,
274,304,349,325
706,650,930,
33,28,23,23
128,135,191,171
642,534,577,
3,,13,10
80,102,90,79
21,208,264,
795,866,966,973
2686,1901,3007,
59,114,62,52
190,228,253,199
599,445,588,
532,542,674,571
1481,1315,1524,
55,58,,42
275,303,299,274
841,832,626,
191,217,208,221
215,553,323,
2787,,,
5838,,,
731,,,
2255,,,
2115,,,
6518,,,
1288,,,
2200,,,
985,,,
640,,,
1324,1452,1125,1719
2553,3349,4566,
128,123,70,156
564,649,605,567
1930,1187,2169,
1690,1569,1526,1578
3658,3254,3228,
935,774,897,779
1766,1684,2329,
725,615,784,682
825,308,1178,
4859,4736,,
11108,9590,,
1072,1001,,
2714,1928,,
3171,2680,,
6852,5508,,
1832,1469,,
2397,2454,,
305,847,,
417,1239,,
1241,1406,1691,1685
3290,3036,4173,
47,81,66,152
287,328,373,367
1073,958,756,
7,,14,32
755,836,942,958
2393,2465,2267,
46,70,38,23
396,369,482,476
1289,1039,1226,
7,10,,
226,222,261,309
713,503,513,
1471,1492,,
4813,4102,,
123,168,,
333,411,,
909,991,,
3591,3300,,
449,469,,
1518,1349,,
377,303,,
4204,,,
8090,,,
138,,,
875,,,
2264,,,
5733,,,
1342,,,
2330,,,
648,,,
303,,,
3830,3783,4428,4193
7973,8417,7599,
82,60,157,263
792,793,885,907
1906,1710,2213,
2044,2075,2284,2207
5172,5086,4602,
1253,1066,1378,1369
2145,2312,2570,
591,602,799,641
912,833,813,
14534,15216,,
25255,22169,,
2216,2271,,
4368,4097,,
5516,5410,,
2996,2917,,
714,3915,,
838,1446,,
11699,12801,12137,12562
20733,20745,19552,
1752,2019,1970,1953
3890,3390,3072,
4346,4468,4416,4726
8696,8017,7448,
2459,2347,2407,2546
2860,3161,3446,
739,864,879,795
265,1255,1447,
3041,3017,2710,3118
7279,5988,6012,
45,,116,178
436,462,488,489
1304,1087,1116,
1228,1212,1133,1274
3018,2572,2532,
15,59,,104
732,636,587,761
1491,1309,992,
361,310,318,371
507,307,627,
4020,3974,3834,3918
9619,6490,8467,
119,10,,189
555,521,618,595
2015,1281,1147,
1703,1678,1837,1679
3946,2866,3551,
971,966,929,977
1895,1812,1932,
